transaction_id,date,amount,category,merchant,city,status,month,month_num,hour,day_of_week,is_anomaly
1,2025-01-01 00:00:00,70.39,Travel,TechNow,Miami,approved,January,1,0,Wednesday,False
2,2025-01-01 06:00:00,451.52,Food,RoadEasy,Los Angeles,approved,January,1,6,Wednesday,True
3,2025-01-01 12:00:00,197.51,Healthcare,StyleVault,Houston,flagged,January,1,12,Wednesday,False
4,2025-01-01 18:00:00,136.94,Tech,RoadEasy,Miami,approved,January,1,18,Wednesday,False
5,2025-01-02 00:00:00,25.44,Tech,TechNow,New York,approved,January,1,0,Thursday,False
6,2025-01-02 06:00:00,25.44,Food,MediPlus,Los Angeles,approved,January,1,6,Thursday,False
7,2025-01-02 12:00:00,8.98,Tech,StayPremium,Houston,approved,January,1,12,Thursday,False
8,2025-01-02 18:00:00,301.68,Healthcare,AirElite,New York,declined,January,1,18,Thursday,False
9,2025-01-03 00:00:00,137.86,Travel,StayPremium,New York,approved,January,1,0,Friday,False
10,2025-01-03 06:00:00,184.69,Retail,StayPremium,New York,declined,January,1,6,Friday,False
11,2025-01-03 12:00:00,3.12,Travel,MediPlus,New York,declined,January,1,12,Friday,False
12,2025-01-03 18:00:00,525.53,Transport,RoadEasy,Miami,declined,January,1,18,Friday,True
13,2025-01-04 00:00:00,267.96,Transport,AirElite,Miami,approved,January,1,0,Saturday,False
14,2025-01-04 06:00:00,35.8,Travel,SkyBridge Travel,Miami,approved,January,1,6,Saturday,False
15,2025-01-04 12:00:00,30.1,Tech,GourmetHub,Houston,flagged,January,1,12,Saturday,False
16,2025-01-04 18:00:00,30.39,Transport,MediPlus,Houston,approved,January,1,18,Saturday,False
17,2025-01-05 00:00:00,54.41,Travel,TechNow,Houston,approved,January,1,0,Sunday,False
18,2025-01-05 06:00:00,111.59,Food,SkyBridge Travel,Chicago,flagged,January,1,6,Sunday,False
19,2025-01-05 12:00:00,84.83,Healthcare,GourmetHub,Houston,flagged,January,1,12,Sunday,False
20,2025-01-05 18:00:00,51.63,Travel,TechNow,Miami,declined,January,1,18,Sunday,False
21,2025-01-06 00:00:00,141.96,Tech,StayPremium,Miami,flagged,January,1,0,Monday,False
22,2025-01-06 06:00:00,22.54,Retail,StyleVault,Chicago,approved,January,1,6,Monday,False
23,2025-01-06 12:00:00,51.83,Transport,TechNow,Chicago,approved,January,1,12,Monday,False
24,2025-01-06 18:00:00,68.44,Transport,AirElite,Houston,flagged,January,1,18,Monday,False
25,2025-01-07 00:00:00,91.34,Transport,AirElite,Los Angeles,approved,January,1,0,Tuesday,False
26,2025-01-07 06:00:00,230.69,Retail,StyleVault,Chicago,approved,January,1,6,Tuesday,False
27,2025-01-07 12:00:00,33.41,Healthcare,SkyBridge Travel,New York,approved,January,1,12,Tuesday,False
28,2025-01-07 18:00:00,108.3,Healthcare,GourmetHub,Miami,approved,January,1,18,Tuesday,False
29,2025-01-08 00:00:00,134.63,Retail,TechNow,New York,declined,January,1,0,Wednesday,False
30,2025-01-08 06:00:00,7.13,Healthcare,AirElite,Miami,approved,January,1,6,Wednesday,False
31,2025-01-08 12:00:00,140.3,Travel,SkyBridge Travel,Miami,declined,January,1,12,Wednesday,False
32,2025-01-08 18:00:00,28.04,Food,StyleVault,Chicago,declined,January,1,18,Wednesday,False
33,2025-01-09 00:00:00,10.09,Travel,RoadEasy,Chicago,approved,January,1,0,Thursday,False
34,2025-01-09 06:00:00,446.05,Travel,MediPlus,New York,approved,January,1,6,Thursday,True
35,2025-01-09 12:00:00,505.59,Travel,RoadEasy,Miami,approved,January,1,12,Thursday,True
36,2025-01-09 18:00:00,247.85,Tech,RoadEasy,New York,approved,January,1,18,Thursday,False
37,2025-01-10 00:00:00,54.49,Retail,AirElite,Los Angeles,approved,January,1,0,Friday,False
38,2025-01-10 06:00:00,15.42,Tech,StayPremium,New York,approved,January,1,6,Friday,False
39,2025-01-10 12:00:00,172.91,Travel,StayPremium,Houston,approved,January,1,12,Friday,False
40,2025-01-10 18:00:00,87.01,Retail,StyleVault,New York,approved,January,1,18,Friday,False
41,2025-01-11 00:00:00,19.52,Food,TechNow,Houston,declined,January,1,0,Saturday,False
42,2025-01-11 06:00:00,102.53,Tech,StayPremium,Houston,declined,January,1,6,Saturday,False
43,2025-01-11 12:00:00,5.25,Retail,RoadEasy,Houston,approved,January,1,12,Saturday,False
44,2025-01-11 18:00:00,360.06,Food,StayPremium,Los Angeles,flagged,January,1,18,Saturday,False
45,2025-01-12 00:00:00,44.92,Healthcare,RoadEasy,New York,approved,January,1,0,Sunday,False
46,2025-01-12 06:00:00,162.94,Food,GourmetHub,New York,declined,January,1,6,Sunday,False
47,2025-01-12 12:00:00,56.03,Travel,AirElite,Los Angeles,approved,January,1,12,Sunday,False
48,2025-01-12 18:00:00,110.12,Travel,AirElite,Miami,approved,January,1,18,Sunday,False
49,2025-01-13 00:00:00,118.68,Healthcare,TechNow,Chicago,approved,January,1,0,Monday,False
50,2025-01-13 06:00:00,30.66,Travel,StayPremium,New York,flagged,January,1,6,Monday,False
51,2025-01-13 12:00:00,523.92,Healthcare,StayPremium,Chicago,flagged,January,1,12,Monday,True
52,2025-01-13 18:00:00,223.84,Food,MediPlus,Los Angeles,approved,January,1,18,Monday,False
53,2025-01-14 00:00:00,420.76,Transport,SkyBridge Travel,Miami,declined,January,1,0,Tuesday,False
54,2025-01-14 06:00:00,337.82,Tech,GourmetHub,Miami,approved,January,1,6,Tuesday,False
55,2025-01-14 12:00:00,136.66,Transport,AirElite,Miami,approved,January,1,12,Tuesday,False
56,2025-01-14 18:00:00,382.42,Retail,GourmetHub,Los Angeles,flagged,January,1,18,Tuesday,False
57,2025-01-15 00:00:00,13.9,Tech,AirElite,Houston,approved,January,1,0,Wednesday,False
58,2025-01-15 06:00:00,32.72,Retail,GourmetHub,Houston,declined,January,1,6,Wednesday,False
59,2025-01-15 12:00:00,6.94,Retail,StyleVault,Chicago,flagged,January,1,12,Wednesday,False
60,2025-01-15 18:00:00,59.03,Food,RoadEasy,Houston,approved,January,1,18,Wednesday,False
61,2025-01-16 00:00:00,73.82,Healthcare,AirElite,Houston,declined,January,1,0,Thursday,False
62,2025-01-16 06:00:00,47.48,Transport,GourmetHub,Miami,approved,January,1,6,Thursday,False
63,2025-01-16 12:00:00,264.68,Tech,StayPremium,Miami,declined,January,1,12,Thursday,False
64,2025-01-16 18:00:00,66.18,Retail,SkyBridge Travel,Chicago,flagged,January,1,18,Thursday,False
65,2025-01-17 00:00:00,49.47,Retail,StyleVault,New York,approved,January,1,0,Friday,False
66,2025-01-17 06:00:00,117.36,Tech,StyleVault,Chicago,approved,January,1,6,Friday,False
67,2025-01-17 12:00:00,22.78,Travel,SkyBridge Travel,Chicago,approved,January,1,12,Friday,False
68,2025-01-17 18:00:00,243.07,Travel,GourmetHub,Los Angeles,flagged,January,1,18,Friday,False
69,2025-01-18 00:00:00,11.62,Retail,StayPremium,Los Angeles,approved,January,1,0,Saturday,False
70,2025-01-18 06:00:00,650.12,Retail,TechNow,Chicago,declined,January,1,6,Saturday,True
71,2025-01-18 12:00:00,221.92,Retail,SkyBridge Travel,Chicago,approved,January,1,12,Saturday,False
72,2025-01-18 18:00:00,33.23,Travel,GourmetHub,Chicago,flagged,January,1,18,Saturday,False
73,2025-01-19 00:00:00,0.83,Travel,SkyBridge Travel,Houston,flagged,January,1,0,Sunday,False
74,2025-01-19 06:00:00,253.48,Travel,SkyBridge Travel,Los Angeles,approved,January,1,6,Sunday,False
75,2025-01-19 12:00:00,184.06,Transport,AirElite,Chicago,declined,January,1,12,Sunday,False
76,2025-01-19 18:00:00,195.85,Retail,GourmetHub,Miami,approved,January,1,18,Sunday,False
77,2025-01-20 00:00:00,221.28,Retail,TechNow,Miami,flagged,January,1,0,Monday,False
78,2025-01-20 06:00:00,11.54,Food,RoadEasy,Houston,flagged,January,1,6,Monday,False
79,2025-01-20 12:00:00,66.58,Travel,AirElite,Houston,approved,January,1,12,Monday,False
80,2025-01-20 18:00:00,18.47,Transport,SkyBridge Travel,New York,approved,January,1,18,Monday,False
81,2025-01-21 00:00:00,298.28,Tech,RoadEasy,New York,approved,January,1,0,Tuesday,False
82,2025-01-21 06:00:00,146.45,Travel,MediPlus,New York,flagged,January,1,6,Tuesday,False
83,2025-01-21 12:00:00,60.27,Retail,RoadEasy,Houston,approved,January,1,12,Tuesday,False
84,2025-01-21 18:00:00,9.85,Healthcare,SkyBridge Travel,Houston,approved,January,1,18,Tuesday,False
85,2025-01-22 00:00:00,55.87,Transport,SkyBridge Travel,Houston,declined,January,1,0,Wednesday,False
